sido,sigungu,doro,address,crosswalk_id,crosswalk_type,highland,crosswalk_lat,crosswalk_lon,roadnum,crosswalk_width,crosswalk_length,signal,button,sound_signal,bump,braille_block,spotlight,org_code
경상북도,구미시,산호대로,경상북도 구미시 공단동 352-14,산호대로-7,1,N,36.097408,128.3852782,2,3.9,6.9,Y, , , ,N, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 498,상사서로-5,1,N,36.08411915,128.3566479,4,7.9,16.2,Y, , , ,Y, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 76-1,상사서로-6,1,N,36.08417318,128.356401,2,4.6,9.4,Y, , , ,N, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 498,상사서로-7,1,N,36.08523164,128.3557324,4,6.2,12.0,Y, , , ,Y, ,5080000
경상북도,구미시,상모로10길,경상북도 구미시 상모동 498,상모로10길-3,1,N,36.08551519,128.3571438,4,6.0,11.7,Y, , , ,Y, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 77-1,상사서로-8,1,N,36.08431561,128.3567246,1,7.9,9.8,Y, , , ,N, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 485,상사서로-9,1,N,36.08559845,128.3555652,4,6.0,11.6,Y, , , ,Y, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 492,상사서로-10,1,N,36.08758374,128.3555663,2,6.0,7.4,Y, , , ,Y, ,5080000
경상북도,구미시,상모로10길,경상북도 구미시 상모동 533-10,상모로10길-9,1,N,36.0856969,128.3572238,2,6.0,8.7,Y, , , ,Y, ,5080000
경상북도,구미시,1공단로6길,경상북도 구미시 공단동 351-11,1공단로6길-2,1,N,36.08362001,128.3770528,4,8.0,15.0,Y, , , ,Y, ,5080000
경상북도,구미시,1공단로6길,경상북도 구미시 공단동 300-21,1공단로6길-4,1,N,36.08968797,128.3769678,4,6.0,11.6,Y, , , ,Y, ,5080000
경상북도,구미시,1공단로6길,경상북도 구미시 공단동 351,1공단로6길-5,1,N,36.09282075,128.3769155,3,6.1,12.6,Y, , , ,Y, ,5080000
경상북도,구미시,상사서로,경상북도 구미시 상모동 485,상사서로-1,1,N,36.08741448,128.3553724,4,6.0,11.7,Y, , , ,Y, ,5080000
경상북도,구미시,박정희로,경상북도 구미시 상모동 165-2,박정희로-4,1,N,36.0886308,128.3501726,2,3.0,7.6,Y, , , ,Y, ,5080000
