sido,sigungu,road_type,road_direction,address,signal_lat,signal_lon,road_shape,is_main_road,signal_type,has_ped_button,has_time_show,has_sound_signal,org_code,sg_uid
경기도,구리시,시도,3,경기도 구리시 갈매동 159-1,37.64214967,127.1151784,2,1,2,0,1,1,3980000,SG_005232
경기도,구리시,일반국도,3,경기도 구리시 교문동 340-9,37.60069765,127.1215221,2,1,2,0,1,1,3980000,SG_005233
경기도,구리시,시도,3,경기도 구리시 갈매동 114-1,37.63866686,127.1203602,2,1,2,0,1,1,3980000,SG_005234
경기도,구리시,시도,3,경기도 구리시 토평동 561-9,37.58373904,127.1472469,2,1,2,0,1,1,3980000,SG_005235
경기도,구리시,시도,3,경기도 구리시 교문동 809-1,37.59114367,127.1376784,2,1,2,0,1,1,3980000,SG_005236
경기도,구리시,시도,3,경기도 구리시 토평동 558-10,37.58359527,127.1468345,2,1,2,0,1,1,3980000,SG_005237
경기도,구리시,시도,3,경기도 구리시 사노동 579-22,37.62968988,127.1308867,2,1,2,0,1,1,3980000,SG_005238
경기도,구리시,시도,3,경기도 구리시 교문동 766-1,37.59259489,127.137419,2,1,2,0,1,1,3980000,SG_005239
경기도,구리시,시도,3,경기도 구리시 사노동 579-26,37.6298927,127.1308129,2,1,2,0,1,1,3980000,SG_005240
경기도,구리시,시도,3,경기도 구리시 교문동 809-1,37.59114367,127.1376784,2,1,2,0,1,1,3980000,SG_005241
경기도,구리시,시도,3,경기도 구리시 갈매동 549,37.63741635,127.1254706,2,1,2,0,1,1,3980000,SG_005242
경기도,구리시,일반국도,3,경기도 구리시 갈매동 114-1,37.63866686,127.1203602,2,1,2,0,1,1,3980000,SG_005243
경기도,포천시,일반국도,3,경기도 포천시 영북면 야미리 280-1,38.05613844,127.2707711,2,1,2,0,0,0,5600000,SG_005244
경기도,포천시,시도,3,경기도 포천시 신읍동 696,37.8961419,127.1803314,2,0,2,0,0,1,5600000,SG_005245
경기도,포천시,일반국도,3,경기도 포천시 영북면 야미리 257-2,38.05940024,127.2715545,2,1,2,0,1,0,5600000,SG_005246
경기도,포천시,시도,3,경기도 포천시 신읍동 314-18,37.8965435,127.1937536,2,1,2,0,1,1,5600000,SG_005247
경기도,포천시,일반국도,3,경기도 포천시 영북면 야미리 295-9,38.0535512,127.2702332,2,1,2,0,0,0,5600000,SG_005248
경기도,포천시,시도,3,경기도 포천시 신읍동 118,37.89634887,127.1945881,2,0,2,0,0,1,5600000,SG_005249
경기도,포천시,시도,3,경기도 포천시 신읍동 314-12,37.896374,127.1942682,2,0,2,0,0,1,5600000,SG_005250
경기도,포천시,일반국도,3,경기도 포천시 영북면 야미리 263-6,38.05756037,127.271156,2,1,2,0,0,0,5600000,SG_005251
경기도,포천시,지방도,3,경기도 포천시 이동면 노곡리 846-5,38.00777556,127.3349658,2,0,2,0,1,0,5600000,SG_005252
경기도,포천시,시도,3,경기도 포천시 신읍동 295-27,37.89688114,127.1945874,2,1,2,0,0,1,5600000,SG_005253
경기도,포천시,일반국도,3,경기도 포천시 영북면 야미리 334-7,38.05277314,127.270193,2,1,2,0,0,0,5600000,SG_005254
경기도,포천시,일반국도,3,경기도 포천시 영북면 야미리 337-1,38.05128148,127.2682736,2,1,2,0,0,0,5600000,SG_005255
경기도,포천시,지방도,3,경기도 포천시 이동면 노곡리 848-5,38.00693754,127.3350832,1,0,2,0,1,0,5600000,SG_005256
경기도,포천시,시도,3,경기도 포천시 신읍동 696-162,37.89650179,127.1947628,2,1,2,0,0,1,5600000,SG_005257
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 영등동 867,35.96031689,126.9712292,2,1,2,0,1,1,4681000,SG_005258
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 어양동 145-7,35.95935776,126.986059,2,1,2,0,1,0,4681000,SG_005259
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 724-1,35.95915985,126.9864751,2,1,2,0,1,0,4681000,SG_005260
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1077,35.95758963,126.9892019,2,0,2,0,1,0,4681000,SG_005261
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 722-3,35.95920757,126.9867801,2,1,2,0,1,0,4681000,SG_005262
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 721-4,35.95940549,126.9867419,2,1,2,0,1,0,4681000,SG_005263
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1137,35.95958734,126.9866921,2,0,2,0,1,0,4681000,SG_005264
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1137,35.95958734,126.9866158,2,0,2,0,1,0,4681000,SG_005265
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1141,35.95973269,126.9896057,2,1,2,0,1,0,4681000,SG_005266
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1059,35.95791908,126.9901866,2,1,2,0,1,0,4681000,SG_005267
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1059,35.95791908,126.9901823,2,0,2,0,1,0,4681000,SG_005268
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1060,35.95819611,126.9934959,2,0,2,0,1,0,4681000,SG_005269
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 영등동 867,35.96031689,126.9712292,2,1,2,0,1,0,4681000,SG_005270
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 어양동 663,35.9620134,126.9812918,2,1,2,0,1,0,4681000,SG_005271
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 삼기면 서두리 산 116-3,36.02482923,126.974464,2,1,2,0,0,0,4681000,SG_005272
