sido,sigungu,road_type,road_direction,address,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경기도,의정부시,일반국도,3,경기도 의정부시 고산동 599-2,2,1,1233-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1234-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 774,2,1,1235-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 5-15,2,1,1236-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 774,2,1,1237-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 8-8,2,0,1238-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 731-8,2,1,1239-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1240-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 693,2,0,1241-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 690,2,1,1242-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 고산동 475-4,2,1,1195-TR-01,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 용현동 63-2,2,1,1196-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 고산동 475-4,2,0,1198-TR-02,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1200-TR-04,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1201-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 556-3,2,0,1202-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 24-1,2,0,1203-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 용현동 24-1,2,0,1204-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 684,2,1,1212-TR-04,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 913,2,1,1206-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 고산동 431,2,1,1173-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 690,2,1,1174-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 748-1,2,1,1175-TR-05,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 748-1,2,1,1175-TR-06,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 496-3,2,1,1176-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 고산동 474,2,1,1178-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 고산동 473-1,2,1,1179-TR-02,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 567-2,1,0,1180-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 신곡동 567-32,1,1,1181-TR-04,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 88-3,2,1,2134-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 459,2,0,2137-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 776,2,0,2139-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 776,2,0,2140-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 667-25,2,0,2141-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 호원동 350-12,2,1,2142-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 725,2,0,2144-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 903-1,2,1,2146-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 민락동 903-2,2,0,2147-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 279-4,2,1,2148-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2123-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2124-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2125-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2126-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 652-47,2,0,2127-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 459,2,0,2129-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 587,2,1,2130-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 594,1,1,2131-TR-03,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 66-3,2,1,2133-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2110-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 816,1,0,2111-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2112-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 816,2,0,2114-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 630-26,2,0,2115-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 232-16,2,0,2118-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2119-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,0,2121-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 216-22,2,1,2122-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 642,2,0,2097-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 682,2,0,2098-TR-04,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 834,1,0,2099-TR-03,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 22-61,1,1,2100-TR-01,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 31-21,1,1,2102-TR-01,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 28-4,2,1,2105-TR-01,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 26-13,2,1,2106-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 232-40,2,0,2108-TR-03,2,0,0,0,3820000
경기도,구리시,시도,3,경기도 구리시 인창동 679-7,2,1,31120-TL-00476-04,2,0,1,0,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 1-8,2,1,31120-TL-00477-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 679-7,2,1,31120-TL-00479-04,2,0,1,0,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 568,2,1,31120-TL-00480-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 465-243,2,1,31120-TL-00481-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 568,2,1,31120-TL-00482-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 579,2,1,31120-TL-00483-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 809-1,2,1,31120-TL-00484-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 679-7,2,1,31120-TL-00469-05,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 542,2,1,31120-TL-00470-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 525-21,2,1,31120-TL-00471-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 663-6,2,1,31120-TL-00472-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 542,2,1,31120-TL-00474-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 568,2,1,31120-TL-00475-04,2,0,1,1,3980000
경기도,구리시,일반국도,3,경기도 구리시 갈매동 116-10,2,1,31120-TL-00462-05,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 679-7,2,1,31120-TL-00463-06,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 525-21,2,1,31120-TL-00464-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 764-11,2,1,31120-TL-00466-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 680,2,1,31120-TL-00467-05,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 788,2,1,31120-TL-00468-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 679-7,2,1,31120-TL-00454-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 사노동 579-37,2,1,31120-TL-00455-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 830,2,0,31120-TL-00456-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 525-21,2,1,31120-TL-00457-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 116-10,2,1,31120-TL-00458-05,2,0,1,1,3980000
경기도,구리시,일반국도,3,경기도 구리시 갈매동 116-10,2,1,31120-TL-00458-06,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 665-4,2,1,31120-TL-00459-02,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 665-4,2,1,31120-TL-00459-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 토평동 525-21,2,1,31120-TL-00460-03,2,0,1,1,3980000
경기도,구리시,일반국도,3,경기도 구리시 갈매동 115-14,2,1,31120-TL-00461-01,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 685,2,1,31120-TL-00447-06,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 인창동 685,2,1,31120-TL-00447-07,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 교문동 772,2,0,31120-TL-00449-03,2,0,1,1,3980000
